Row Name,ItemID,DisplayName,Icon,InspectMesh,Era,Origin,Description,bStackable,MaxStack,CombineGroupID,ItemTags
HieroglyphicTablet,HieroglyphicTablet,"Ancient Egyptian Hieroglyphic Tablet",,,"2000 BCE, Middle Kingdom","Thebes, Egypt","This stone tablet contains hieroglyphic inscriptions from the Middle Kingdom period of ancient Egypt. The carvings depict religious ceremonies and scenes from daily life. The tablet was discovered in a tomb near Thebes and dates to the reign of Pharaoh Mentuhotep II. The date carved at the bottom reads ""Year 12 of Pharaoh Mentuhotep II"" - approximately 2000 BCE. This is the oldest of the three Egyptian artifacts in this hall.",False,1,,"(KeyItem,Egyptian)"
ScarabAmulet,ScarabAmulet,"Ancient Egyptian Scarab Amulet",,,"1500 BCE, New Kingdom","Thebes, Egypt","A protective amulet carved from faience, shaped like a scarab beetle. These amulets were believed to protect the wearer in life and guide them safely through the afterlife. The scarab was a symbol of rebirth and transformation in ancient Egyptian culture. The inscription on the reverse side dates this amulet to the reign of Thutmose III, around 1500 BCE during the New Kingdom period. This artifact sits between the tablet and the jar chronologically.",False,1,,"(KeyItem,Egyptian)"
CanopicJar,CanopicJar,"Ancient Egyptian Canopic Jar",,,"1200 BCE, New Kingdom","Valley of the Kings, Egypt","A limestone canopic jar used in the mummification process to store the deceased's organs. This particular jar would have held the liver, which was protected by the god Imsety. The jar features detailed hieroglyphic inscriptions and decorative carvings typical of the 19th Dynasty. The hieroglyphs indicate this belonged to a noble from the Valley of the Kings, dating to approximately 1200 BCE. This is the most recent of the three Egyptian artifacts.",False,1,,"(KeyItem,Egyptian)"
TabletFragment1,TabletFragment1,"Broken Stone Tablet Fragment",,,"1347 CE, 14th Century","Calais, France","A piece of a larger stone tablet that was broken from a complete monument. The edges show clear break marks where it separated from the other fragments. This fragment contains part of a date inscription, though the numbers are incomplete. When assembled with the other three fragments, the complete tablet reveals important historical information about the Siege of Calais.",False,1,TabletFragments,"(KeyItem,Fragment,Medieval)"
TabletFragment2,TabletFragment2,"Broken Stone Tablet Fragment",,,"1347 CE, 14th Century","Calais, France","Another fragment of the broken stone tablet. This piece shows weathered text that reads ""...of the great siege..."" The stone has been damaged over time, but the inscription remains partially legible. This fragment fits with the others to form a commemorative monument from the Hundred Years' War period.",False,1,TabletFragments,"(KeyItem,Fragment,Medieval)"
TabletFragment3,TabletFragment3,"Broken Stone Tablet Fragment",,,"1347 CE, 14th Century","Calais, France","A third fragment with partial text visible. The stone shows signs of weathering and age, but the carved letters are still discernible. When assembled with the other fragments, this piece helps complete the date inscription. The fragments together tell the story of a significant historical event.",False,1,TabletFragments,"(KeyItem,Fragment,Medieval)"
TabletFragment4,TabletFragment4,"Broken Stone Tablet Fragment",,,"1347 CE, 14th Century","Calais, France","The final fragment of the broken stone tablet. This piece contains the crucial date information. When all four fragments are combined, the complete tablet reveals the full inscription: ""The year of the great siege: 1347"" - referring to the Siege of Calais during the Hundred Years' War. This date serves as the code needed to unlock the storage corridor door.",False,1,TabletFragments,"(KeyItem,Fragment,Medieval)"
SoftBrush,SoftBrush,"Museum Conservation Brush",,,"Modern","Museum Conservation Lab","A soft-bristled brush specifically designed for museum conservation work. Conservators use these brushes to gently clean fragile artifacts without causing damage. The bristles are made from natural fibers that won't scratch delicate surfaces. Using this brush on dusty or dirty artifacts can reveal hidden inscriptions, markings, or details that were previously obscured. Essential for careful artifact examination.",False,1,,"(Tool)"
MagnifyingGlass,MagnifyingGlass,"Museum Magnifying Glass",,,"Modern","Museum Conservation Lab","A precision magnifying glass used by museum professionals for examining fine details on artifacts. The glass provides 10x magnification, allowing conservators to read small inscriptions, identify maker's marks, and examine surface textures. This tool is essential for reading the tiny text on the assembled tablet fragments and revealing hidden details on other artifacts.",False,1,,"(Tool)"
VaultKey,VaultKey,"Museum Vault Key",,,"Modern","Museum Security","A heavy brass key that unlocks the museum's secure vault where the most valuable and sensitive artifacts are stored. The key has ""VAULT ACCESS - AUTHORIZED PERSONNEL ONLY"" engraved on the handle. This key was left hanging on a hook in the storage corridor, likely forgotten during the curator's hasty exit. The vault contains the cursed artifact that must be properly contained to end the anomaly.",False,1,,"(KeyItem)"
